,id,party,name
201,3967,Liberal Democrat,"Crockart, Mike"
202,4859,Conservative,"Crosbie, Virginia"
203,3950,Conservative,"Crouch, Dame Tracey"
204,1406,Labour,"Cruddas, Jon"
205,181,Labour,"Cryer, John"
206,4391,Labour,"Cummins, Judith"
207,4122,Labour,"Cunningham, Alex"
208,308,Labour,"Cunningham, Mr Jim"
209,1469,Labour,"Cunningham, Sir Tony"
210,3982,Labour,"Curran, Margaret"
211,4698,Labour,"Daby, Janet"
212,4056,Labour,"Dakin, Sir Nicholas"
213,4981,Labour,"Dalton, Ashley"
214,4854,Conservative,"Daly, James"
215,4059,Independent,"Danczuk, Simon"
216,188,Liberal Democrat,"Davey, Ed"
217,1398,Labour,"David, Wayne"
218,611,Labour (Co-op),"Davidson, Mr Ian"
219,4376,Conservative,"Davies, Chris"
220,1545,Conservative,"Davies, David T C"
221,4850,Conservative,"Davies, Gareth"
222,155,Independent,"Davies, Geraint"
223,4041,Conservative,"Davies, Glyn"
224,4476,Conservative,"Davies, Dr James"
225,4513,Conservative,"Davies, Mims"
226,1565,Conservative,"Davies, Sir Philip"
227,4849,Labour,"Davies-Jones, Alex"
228,373,Conservative,"Davis, David"
229,4737,Conservative,"Davison, Dehenna"
230,4488,Scottish National Party,"Day, Martyn"
231,4002,Conservative,"de Bois, Nick"
232,4676,Labour,"De Cordova, Marsha"
233,3915,Labour,"De Piero, Gloria"
234,4433,Labour,"Debbonaire, Thangam"
235,61,Labour,"Denham, Mr John"
236,4683,Labour,"Dent Coad, Emma"
237,4638,Labour,"Dhesi, Mr Tanmanjeet Singh"
238,4008,Conservative,"Dinenage, Dame Caroline"
239,4816,Conservative,"Dines, Miss Sarah"
240,4976,Labour,"Dixon, Samantha"
241,1425,Conservative,"Djanogly, Mr Jonathan"
242,446,Labour (Co-op),"Dobbin, Jim"
243,180,Labour,"Dobson, Frank"
244,4600,Conservative,"Docherty, Leo"
245,3962,Labour,"Docherty, Thomas"
246,4374,Scottish National Party,"Docherty-Hughes, Martin"
247,4657,Labour (Co-op),"Dodds, Anneliese"
248,4718,Liberal Democrat,"Dodds, Jane"
249,1465,Sinn Féin,"Doherty, Mr Pat"
250,650,Independent,"Donaldson, Sir Jeffrey M"
251,4377,Scottish National Party,"Donaldson, Stuart Blair"
252,4530,Conservative,"Donelan, Michelle"
253,586,Labour,"Donohoe, Mr Brian H."
254,4736,Scottish National Party,"Doogan, Dave"
255,570,Labour,"Doran, Mr Frank"
256,4740,Scottish National Party,"Dorans, Allan"
257,336,Conservative,"Dorrell, Mr Stephen"
258,1481,Conservative,"Dorries, Ms Nadine"
259,4452,Conservative,"Double, Steve"
260,4264,Labour (Co-op),"Doughty, Stephen"
261,189,Labour,"Dowd, Jim"
262,4397,Labour,"Dowd, Peter"
263,4441,Conservative,"Dowden, Sir Oliver"
264,4063,Labour (Co-op),"Doyle, Gemma"
265,4065,Conservative,"Doyle-Price, Dame Jackie"
266,4132,Conservative,"Drax, Richard"
267,252,Labour (Co-op),"Drew, Dr David"
268,3913,Labour,"Dromey, Jack"
269,4459,Conservative,"Drummond, Mrs Flick"
270,1559,Conservative,"Duddridge, Sir James"
271,4616,Labour,"Duffield, Rosie"
272,3916,Labour,"Dugher, Michael"
273,4606,Conservative,"Duguid, David"
274,343,Conservative,"Duncan, Sir Alan"
275,152,Conservative,"Duncan Smith, Sir Iain"
276,1542,Conservative,"Dunne, Philip"
277,1594,Social Democratic & Labour Party,"Durkan, Mark"
278,4995,Liberal Democrat,"Dyke, Sarah"
279,491,Labour,"Eagle, Dame Angela"
280,483,Labour,"Eagle, Maria"
281,4846,Social Democratic & Labour Party,"Eastwood, Colum"
282,4807,Conservative,"Eastwood, Mark"
283,3943,Independent,"Edwards, Jonathan"
284,4808,Conservative,"Edwards, Ruth"
285,5001,Labour,"Edwards, Sarah"
286,165,Labour,"Efford, Clive"
287,5010,Labour,"Egan, Damien"
288,4127,Labour,"Elliott, Julie"
289,4367,Ulster Unionist Party,"Elliott, Tom"
290,4116,Conservative,"Ellis, Sir Michael"
291,3918,Conservative,"Ellison, Jane"
292,484,Independent,"Ellman, Dame Louise"
293,1487,Conservative,"Ellwood, Mr Tobias"
294,4572,Labour,"Elmore, Chris"
295,3971,Independent,"Elphicke, Charlie"
296,4795,Labour,"Elphicke, Mrs Natalie"
297,1507,Labour,"Engel, Natascha"
298,4870,Labour (Co-op),"Eshalomi, Florence"
299,4061,Labour,"Esterson, Bill"
300,3934,Conservative,"Eustice, George"
301,4040,Labour (Co-op),"Evans, Chris"
302,1166,Conservative,"Evans, Jonathan"
303,4781,Conservative,"Evans, Dr Luke"
304,474,Conservative,"Evans, Mr Nigel"
305,1198,Conservative,"Evennett, Sir David"
306,4836,Conservative,"Everitt, Ben"
307,280,Conservative,"Fabricant, Michael"
308,88,Conservative,"Fallon, Sir Michael"
309,1436,Labour,"Farrelly, Paul"
310,4826,Conservative,"Farris, Laura"
311,1591,Liberal Democrat,"Farron, Tim"
312,4856,Alliance,"Farry, Stephen"
313,4744,Conservative,"Fell, Simon"
314,4440,Scottish National Party,"Fellows, Marion"
315,4386,Independent,"Ferrier, Margaret"
316,1405,Conservative,"Field, Mark"
317,4823,Sinn Féin,"Finucane, John"
318,4936,Conservative,"Firth, Anna"
319,197,Labour,"Fitzpatrick, Jim"
320,1569,Labour,"Flello, Robert"
321,4378,Labour,"Fletcher, Colleen"
322,4834,Conservative,"Fletcher, Katherine"
323,4774,Conservative,"Fletcher, Mark"
324,4832,Conservative,"Fletcher, Nick"
325,389,Labour,"Flint, Caroline"
326,545,Labour,"Flynn, Paul"
327,4735,Scottish National Party,"Flynn, Stephen"
328,4942,Liberal Democrat,"Foord, Richard"
329,4717,Labour,"Forbes, Ms Lisa"
330,4674,Conservative,"Ford, Vicky"
331,4451,Conservative,"Foster, Kevin"
332,4034,Labour,"Fovargue, Yvonne"
333,223,Conservative,"Fox, Sir Liam"
334,4491,Labour,"Foxcroft, Vicky"
335,4753,Labour,"Foy, Mary Kelly"
336,1382,Labour,"Francis, Dr Hywel"
337,1444,Conservative,"Francois, Mr Mark"
338,4517,Conservative,"Frazer, Lucy"
339,4020,Conservative,"Freeman, George"
340,4004,Conservative,"Freer, Mike"
341,4932,Conservative,"French, Mr Louie"
342,4637,Labour,"Frith, Mr James"
343,3912,Conservative,"Fuller, Richard"
344,4571,Labour,"Furniss, Gill"
345,4446,Conservative,"Fysh, Mr Marcus"
346,4614,Labour,"Gaffney, Hugh"
347,87,Conservative,"Gale, Sir Roger"
348,609,Workers Party of Britain,"Galloway, George"
349,184,The Independent Group for Change,"Gapes, Mike"
350,146,Labour,"Gardiner, Barry"
351,4074,Conservative,"Garnier, Mark"
352,1529,Independent,"Gauke, Mr David"
353,227,Liberal Democrat,"George, Andrew"
354,4662,Labour,"George, Ruth"
355,4434,Scottish National Party,"Gethins, Stephen"
356,4460,Conservative,"Ghani, Ms Nusrat"
357,111,Conservative,"Gibb, Nick"
358,4435,Scottish National Party,"Gibson, Patricia"
359,4754,Conservative,"Gibson, Peter"
360,4817,Conservative,"Gideon, Jo"
361,4101,Liberal Democrat,"Gilbert, Stephen"
362,1416,Sinn Féin,"Gildernew, Michelle"
363,4603,Labour (Co-op),"Gill, Preet Kaur"
364,18,Conservative,"Gillan, Dame Cheryl"
365,3965,Labour,"Gilmore, Sheila"
366,4633,Democratic Unionist Party,"Girvan, Paul"
367,4103,Labour,"Glass, Pat"
368,4051,Conservative,"Glen, John"
369,4126,Labour,"Glindon, Mary"
370,304,Labour,"Godsiff, Mr Roger"
371,462,Labour,"Goggins, Paul"
372,1484,Labour,"Goodman, Helen"
373,1562,Conservative,"Goodwill, Sir Robert"
374,1571,Conservative,"Gove, Michael"
375,4432,Scottish National Party,"Grady, Patrick"
376,4622,Conservative,"Graham, Luke"
377,3990,Conservative,"Graham, Richard"
378,4605,Conservative,"Grant, Bill"
379,4018,Conservative,"Grant, Helen"
380,4466,Scottish National Party,"Grant, Peter"
381,261,Conservative,"Gray, James"
382,4365,Scottish National Party,"Gray, Neil"
383,1413,Conservative,"Grayling, Chris"
384,4047,Labour (Co-op),"Greatrex, Tom"
385,4398,Conservative,"Green, Chris"
386,76,Conservative,"Green, Damian"
387,4120,Labour,"Green, Kate"
388,4918,Liberal Democrat,"Green, Sarah"
389,1555,Independent,"Greening, Justine"
390,4029,Labour,"Greenwood, Lilian"
391,4400,Labour,"Greenwood, Margaret"
392,16,Independent,"Grieve, Mr Dominic"
393,4874,Conservative,"Griffith, Andrew"
394,1541,Labour,"Griffith, Dame Nia"
395,3936,Conservative,"Griffiths, Andrew"
396,382,Labour,"Grogan, John"
397,4843,Conservative,"Grundy, James"
398,4814,Conservative,"Gullis, Jonathan"
399,3988,Conservative,"Gummer, Ben"
400,1506,Labour (Co-op),"Gwynne, Andrew"
401,3980,Liberal Democrat,"Gyimah, Mr Sam"
402,4473,Labour,"Haigh, Louise"
403,4675,Conservative,"Hair, Kirstene"
404,3985,Conservative,"Halfon, Robert"
405,4450,Conservative,"Hall, Luke"
406,3951,Liberal Democrat,"Hames, Duncan"
407,1432,Labour,"Hamilton, Mr David"
408,415,Labour,"Hamilton, Fabian"
409,4938,Labour,"Hamilton, Paulette"
410,1585,Conservative,"Hammond, Stephen"
411,4070,Conservative,"Hancock, Matt"
412,59,Independent,"Hancock, Mr Mike"
413,1526,Conservative,"Hands, Greg"
414,4827,Social Democratic & Labour Party,"Hanna, Claire"
415,4782,Alba Party,"Hanvey, Neale"
416,4645,Labour,"Hardy, Emma"
417,150,Labour,"Harman, Ms Harriet"
418,1520,Conservative,"Harper, Mr Mark"
419,4477,Labour,"Harpham, Harry"
420,4480,Labour,"Harris, Carolyn"
421,3948,Conservative,"Harris, Rebecca"
422,1418,Labour,"Harris, Mr Tom"
423,4593,Conservative,"Harrison, Trudy"
424,4842,Conservative,"Hart, Sally-Ann"
425,3944,Conservative,"Hart, Simon"
426,231,Liberal Democrat,"Harvey, Sir Nick"
427,1430,Labour,"Havard, Mr Dai"
428,4510,Labour,"Hayes, Helen"
429,350,Conservative,"Hayes, Sir John"
430,4636,Sinn Féin,"Hazzard, Chris"
431,69,Conservative,"Heald, Sir Oliver"
432,400,Labour,"Healey, John"
433,4528,Conservative,"Heappey, James"
434,255,Liberal Democrat,"Heath, Mr David"
435,3977,Conservative,"Heaton-Harris, Chris"
436,4524,Conservative,"Heaton-Jones, Peter"
437,1483,Liberal Democrat,"Hemming, John"
438,4050,Conservative,"Henderson, Gordon"
439,473,Labour (Co-op),"Hendrick, Sir Mark"
440,1220,Conservative,"Hendry, Charles"
441,4467,Scottish National Party,"Hendry, Drew"
442,4794,Conservative,"Henry, Darren"
443,520,Independent,"Hepburn, Mr Stephen"
444,1437,Independent,"Hermon, Lady"
445,1386,Labour,"Heyes, David"
446,4833,Conservative,"Higginbotham, Antony"
447,4644,Labour,"Hill, Mike"
448,1524,Labour (Co-op),"Hillier, Dame Meg"
449,3925,Labour,"Hilling, Julie"
450,3969,Conservative,"Hinds, Damian"
451,4494,Conservative,"Hoare, Simon"
452,1414,Conservative,"Hoban, Mr Mark"
453,4602,Liberal Democrat,"Hobhouse, Wera"
454,140,Labour,"Hodge, Dame Margaret"
455,1521,Labour,"Hodgson, Mrs Sharon"
456,4813,Conservative,"Holden, Mr Richard"
457,4363,Labour,"Hollern, Kate"
458,4016,Conservative,"Hollingbery, Sir George"
459,4474,Conservative,"Hollinrake, Kevin"
460,1537,Conservative,"Hollobone, Mr Philip"
461,1522,Conservative,"Holloway, Adam"
462,4803,Conservative,"Holmes, Paul"
463,582,Labour,"Hood, Mr Jim"
464,2,Independent,"Hopkins, Kelvin"
465,4043,Conservative,"Hopkins, Kris"
466,4873,Labour,"Hopkins, Rachel"
467,1499,Liberal Democrat,"Horwood, Martin"
468,1514,Scottish National Party,"Hosie, Stewart"
469,481,Labour,"Howarth, Sir George"
470,47,Conservative,"Howarth, Sir Gerald"
471,1606,Conservative,"Howell, John"
472,4830,Conservative,"Howell, Paul"
473,4445,Conservative,"Howlett, Ben"
474,467,Speaker,"Hoyle, Sir Lindsay"
475,4407,Conservative,"Huddleston, Nigel"
476,4853,Conservative,"Hudson, Dr Neil"
477,4635,Conservative,"Hughes, Eddie"
478,194,Liberal Democrat,"Hughes, Simon"
479,1517,Liberal Democrat,"Huhne, Chris"
480,4839,Conservative,"Hunt, Jane"
481,1572,Conservative,"Hunt, Jeremy"
482,4771,Conservative,"Hunt, Tom"
483,4111,Labour,"Hunt, Tristram"
484,1598,Liberal Democrat,"Hunter, Mark"
485,3931,Liberal Democrat,"Huppert, Dr Julian"
486,4511,Labour,"Huq, Dr Rupa"
487,1561,Conservative,"Hurd, Mr Nick"
488,4394,Independent,"Hussain, Imran"
489,386,Independent,"Illsley, Mr Eric"
490,1476,Labour,"Irranca-Davies, Huw"
491,4619,Conservative,"Jack, Mr Alister"
492,175,Labour,"Jackson, Glenda"
493,4115,Conservative,"James, Margot"
494,1573,Labour,"James, Mrs Siân C."
495,4011,Labour (Co-op),"Jamieson, Cathy"
496,4634,Liberal Democrat,"Jardine, Christine"
497,4243,Labour,"Jarvis, Dan"
498,3945,Conservative,"Javid, Sir Sajid"
499,4498,Conservative,"Jayawardena, Mr Ranil"
500,40,Conservative,"Jenkin, Sir Bernard"
501,4752,Conservative,"Jenkinson, Mark"
502,4490,Conservative,"Jenkyns, Dame Andrea"
503,4320,Conservative,"Jenrick, Robert"
504,376,Labour,"Johnson, Alan"
505,1423,Conservative,"Johnson, Boris"
506,4592,Conservative,"Johnson, Dr Caroline"
507,1533,Labour,"Johnson, Dame Diana"
508,3970,Conservative,"Johnson, Gareth"
509,4824,Labour,"Johnson, Kim"
510,4761,Conservative,"Johnston, David"
511,3996,Conservative,"Jones, Andrew"
512,4621,Labour,"Jones, Darren"
513,1502,Conservative,"Jones, Mr David"
514,4763,Conservative,"Jones, Fay"
515,4501,Labour,"Jones, Gerald"
516,3999,Labour,"Jones, Graham P"
517,432,Labour,"Jones, Helen"
518,1438,Labour,"Jones, Mr Kevan"
519,4024,Conservative,"Jones, Mr Marcus"
520,4716,Labour,"Jones, Ruth"
521,4631,Labour,"Jones, Sarah"
522,3956,Labour,"Jones, Susan Elan"
523,603,Independent,"Joyce, Eric"
524,4862,Conservative,"Jupp, Simon"
525,4316,Labour,"Kane, Mike"
526,451,Labour,"Kaufman, Sir Gerald"
527,1566,Conservative,"Kawczynski, Daniel"
528,4805,Conservative,"Kearns, Alicia"
529,4680,Conservative,"Keegan, Gillian"
530,1588,Labour,"Keeley, Barbara"
531,169,Labour (Co-op),"Keen, Alan"
532,3975,Conservative,"Kelly, Chris"
533,4026,Labour,"Kendall, Liz"
534,634,Liberal Democrat,"Kennedy, Mr Charles"
535,4455,Conservative,"Kennedy, Seema"
536,4416,Scottish National Party,"Kerevan, George"
537,4379,Scottish National Party,"Kerr, Calum"
538,4604,Conservative,"Kerr, Stephen"
539,4671,Labour,"Khan, Afzal"
540,1577,Labour,"Khan, Sadiq"
541,4672,Labour (Co-op),"Killen, Ged"
542,4381,Ulster Unionist Party,"Kinahan, Danny"
543,4359,Labour,"Kinnock, Stephen"
544,3929,Conservative,"Kirby, Simon"
545,5011,Labour,"Kitchen, Gen"
546,1200,Conservative,"Knight, Sir Greg"
547,4410,Independent,"Knight, Julian"
548,4773,Conservative,"Kniveton, Kate"
549,4858,Conservative,"Kruger, Danny"
550,4134,Conservative,"Kwarteng, Kwasi"
551,4505,Labour,"Kyle, Peter"
552,36,Conservative,"Laing, Dame Eleanor"
553,4660,Labour,"Laird, Lesley"
554,4630,Plaid Cymru,"Lake, Ben"
555,1439,Liberal Democrat,"Lamb, Norman"
556,206,Labour,"Lammy, Mr David"
557,4608,Conservative,"Lamont, John"
558,4852,Conservative,"Largan, Robert"
559,4025,Conservative,"Latham, Mrs Pauline"
560,4139,Labour,"Lavery, Ian"
561,4403,Scottish National Party,"Law, Chris"
562,1473,Liberal Democrat,"Laws, Mr David"
563,1411,Labour (Co-op),"Lazarowicz, Mark"
564,4923,Labour,"Leadbeater, Kim"
565,4117,Conservative,"Leadsom, Andrea"
566,3993,Conservative,"Lee, Jessica"
567,4664,Labour,"Lee, Karen"
568,3921,Liberal Democrat,"Lee, Dr Phillip"
569,1543,Liberal Democrat,"Leech, Mr John"
570,4109,Conservative,"Lefroy, Jeremy"
571,345,Conservative,"Leigh, Sir Edward"
572,3933,Conservative,"Leslie, Charlotte"
573,422,The Independent Group for Change,"Leslie, Mr Chris"
574,247,Independent,"Letwin, Sir Oliver"
575,4749,Conservative,"Levy, Ian"
576,4277,Labour,"Lewell-Buck, Mrs Emma"
577,4659,Conservative,"Lewer, Andrew"
578,4009,Conservative,"Lewis, Sir Brandon"
579,4500,Labour,"Lewis, Clive"
580,441,Independent,"Lewis, Mr Ivan"
581,54,Conservative,"Lewis, Sir Julian"
582,1396,Conservative,"Liddell-Grainger, Mr Ian"
583,15,Conservative,"Lidington, Sir David"
584,4943,Labour (Co-op),"Lightwood, Simon"
585,4640,Scottish National Party,"Linden, David"
586,4611,Democratic Unionist Party,"Little Pengelly, Emma"
587,3968,Liberal Democrat,"Lloyd, Stephen"
588,450,Labour,"Lloyd, Tony"
589,549,Plaid Cymru,"Llwyd, Mr Elfyn"
590,4857,Democratic Unionist Party,"Lockhart, Carla"
591,4751,Conservative,"Loder, Chris"
592,4815,Independent,"Logan, Mark"
593,3920,Alliance,"Long, Naomi"
594,4396,Independent,"Long Bailey, Rebecca"
595,4789,Conservative,"Longhi, Marco"
596,4647,Conservative,"Lopez, Julia"
597,3989,Conservative,"Lopresti, Jack"
598,4090,Conservative,"Lord, Mr Jonathan"
599,114,Conservative,"Loughton, Tim"
600,164,Labour (Co-op),"Love, Mr Andrew"
601,3930,Green Party,"Lucas, Caroline"
602,1470,Labour,"Lucas, Ian C."
603,268,Conservative,"Luff, Sir Peter"
604,4023,Conservative,"Lumley, Karen"
605,4472,Labour,"Lynch, Holly"
606,4772,Alba Party,"MacAskill, Kenny"
607,4529,Conservative,"Mackinlay, Craig"
608,4431,Conservative,"Mackintosh, David"
609,4758,Conservative,"Mackrory, Cherilyn"
610,4668,Conservative,"Maclean, Rachel"
611,3927,Conservative,"Macleod, Mary"
612,1546,Independent,"MacNeil, Angus Brendan"
613,393,Labour,"MacShane, Mr Denis"
614,12,Labour,"Mactaggart, Fiona"
615,4418,Labour,"Madders, Justin"
616,1392,Labour,"Mahmood, Mr Khalid"
617,3914,Labour,"Mahmood, Shabana"
618,1568,Conservative,"Main, Mrs Anne"
619,4484,Conservative,"Mak, Alan"
620,4253,Labour (Co-op),"Malhotra, Seema"
621,4495,Conservative,"Malthouse, Kit"
622,4762,Conservative,"Mangnall, Anthony"
